Fakultät,Code,Id,Kanton,Einwohner,Jahr,Semester,Immatrikulationen
Psychologie,AI,16,Appenzell Innerrhoden,16145,2006,FS,0
Psychologie,SG,17,St. Gallen,507697,2006,FS,1
Psychologie,GR,18,Graubünden,198379,2006,FS,0
Psychologie,AG,19,Aargau,677387,2006,FS,0
Psychologie,TG,20,Thurgau,276472,2006,FS,0
Psychologie,TI,21,Tessin,353343,2006,FS,0
Psychologie,VD,22,Waadt,799145,2006,FS,0
Psychologie,VS,23,Wallis,343955,2006,FS,0
Psychologie,NE,24,Neuenburg,176850,2006,FS,0
Psychologie,GE,25,Genf,499480,2006,FS,0
Psychologie,JU,26,Jura,73419,2006,FS,0
Wirtschaftswissenschaften,BS,12,Basel-Stadt,194766,2006,FS,2
Wirtschaftswissenschaften,ZH,1,Zürich,1520968,2006,FS,0
Wirtschaftswissenschaften,BE,2,Bern,1034977,2006,FS,0
Wirtschaftswissenschaften,LU,3,Luzern,409557,2006,FS,0
Wirtschaftswissenschaften,UR,4,Uri,36433,2006,FS,0
Wirtschaftswissenschaften,SZ,5,Schwyz,159165,2006,FS,0
Wirtschaftswissenschaften,OW,6,Obwalden,37841,2006,FS,0
Wirtschaftswissenschaften,GL,8,Glarus,40403,2006,FS,0
Wirtschaftswissenschaften,ZG,9,Zug,126837,2006,FS,0
Wirtschaftswissenschaften,FR,10,Freiburg,318714,2006,FS,0
Wirtschaftswissenschaften,SO,11,Solothurn,273194,2006,FS,2
Wirtschaftswissenschaften,BL,13,Basel-Landschaft,288132,2006,FS,0
Wirtschaftswissenschaften,SH,14,Schaffhausen,81991,2006,FS,0
Wirtschaftswissenschaften,AI,16,Appenzell Innerrhoden,16145,2006,FS,0
Wirtschaftswissenschaften,SG,17,St. Gallen,507697,2006,FS,0
Wirtschaftswissenschaften,GR,18,Graubünden,198379,2006,FS,0
Wirtschaftswissenschaften,AG,19,Aargau,677387,2006,FS,0
Wirtschaftswissenschaften,TG,20,Thurgau,276472,2006,FS,0
Wirtschaftswissenschaften,TI,21,Tessin,353343,2006,FS,0
Wirtschaftswissenschaften,VD,22,Waadt,799145,2006,FS,0
Wirtschaftswissenschaften,VS,23,Wallis,343955,2006,FS,0
Wirtschaftswissenschaften,NE,24,Neuenburg,176850,2006,FS,0
Wirtschaftswissenschaften,GE,25,Genf,499480,2006,FS,0
Wirtschaftswissenschaften,JU,26,Jura,73419,2006,FS,0
Philosophie II,BS,12,Basel-Stadt,194766,2006,FS,4
Philosophie II,ZH,1,Zürich,1520968,2006,FS,1
Philosophie II,BE,2,Bern,1034977,2006,FS,5
Philosophie II,LU,3,Luzern,409557,2006,FS,0
Philosophie II,UR,4,Uri,36433,2006,FS,0
Philosophie II,SZ,5,Schwyz,159165,2006,FS,0
Philosophie II,OW,6,Obwalden,37841,2006,FS,0.5
Philosophie II,GL,8,Glarus,40403,2006,FS,1
Philosophie II,ZG,9,Zug,126837,2006,FS,0
Philosophie II,FR,10,Freiburg,318714,2006,FS,0
Philosophie II,SO,11,Solothurn,273194,2006,FS,2
Philosophie II,BL,13,Basel-Landschaft,288132,2006,FS,7
Philosophie II,SH,14,Schaffhausen,81991,2006,FS,0
Philosophie II,AI,16,Appenzell Innerrhoden,16145,2006,FS,0
Philosophie II,SG,17,St. Gallen,507697,2006,FS,1
Philosophie II,GR,18,Graubünden,198379,2006,FS,0
Philosophie II,AG,19,Aargau,677387,2006,FS,2
Philosophie II,TG,20,Thurgau,276472,2006,FS,0
Philosophie II,TI,21,Tessin,353343,2006,FS,1
Philosophie II,VD,22,Waadt,799145,2006,FS,2
Philosophie II,VS,23,Wallis,343955,2006,FS,0
Philosophie II,NE,24,Neuenburg,176850,2006,FS,0
Philosophie II,GE,25,Genf,499480,2006,FS,0
Philosophie II,JU,26,Jura,73419,2006,FS,1
Lehrerausbildung,BS,12,Basel-Stadt,194766,2006,FS,0
Lehrerausbildung,ZH,1,Zürich,1520968,2006,FS,0
Lehrerausbildung,BE,2,Bern,1034977,2006,FS,0
Lehrerausbildung,LU,3,Luzern,409557,2006,FS,0
Lehrerausbildung,UR,4,Uri,36433,2006,FS,0
Lehrerausbildung,SZ,5,Schwyz,159165,2006,FS,0
Lehrerausbildung,OW,6,Obwalden,37841,2006,FS,0
Lehrerausbildung,GL,8,Glarus,40403,2006,FS,0
Lehrerausbildung,ZG,9,Zug,126837,2006,FS,0
Lehrerausbildung,FR,10,Freiburg,318714,2006,FS,0
Lehrerausbildung,SO,11,Solothurn,273194,2006,FS,0
Lehrerausbildung,BL,13,Basel-Landschaft,288132,2006,FS,0
Lehrerausbildung,SH,14,Schaffhausen,81991,2006,FS,0
Lehrerausbildung,AI,16,Appenzell Innerrhoden,16145,2006,FS,0
Lehrerausbildung,SG,17,St. Gallen,507697,2006,FS,0
Lehrerausbildung,GR,18,Graubünden,198379,2006,FS,0
Lehrerausbildung,AG,19,Aargau,677387,2006,FS,0
Lehrerausbildung,TG,20,Thurgau,276472,2006,FS,0
Lehrerausbildung,TI,21,Tessin,353343,2006,FS,0
Lehrerausbildung,VD,22,Waadt,799145,2006,FS,0
Lehrerausbildung,VS,23,Wallis,343955,2006,FS,0
Lehrerausbildung,NE,24,Neuenburg,176850,2006,FS,0
Lehrerausbildung,GE,25,Genf,499480,2006,FS,0
Lehrerausbildung,JU,26,Jura,73419,2006,FS,0
Theologie,NW,7,Nidwalden,43223,2006,FS,0
Jurisprudenz,NW,7,Nidwalden,43223,2006,FS,0
Medizin,NW,7,Nidwalden,43223,2006,FS,0
Philosophie I,NW,7,Nidwalden,43223,2006,FS,0.5
Psychologie,NW,7,Nidwalden,43223,2006,FS,0.5
Wirtschaftswissenschaften,NW,7,Nidwalden,43223,2006,FS,0
Philosophie II,NW,7,Nidwalden,43223,2006,FS,0.5
Lehrerausbildung,NW,7,Nidwalden,43223,2006,FS,0
Theologie,AR,15,Appenzell Ausserrhoden,55234,2006,FS,0
Jurisprudenz,AR,15,Appenzell Ausserrhoden,55234,2006,FS,0
Medizin,AR,15,Appenzell Ausserrhoden,55234,2006,FS,0
Philosophie I,AR,15,Appenzell Ausserrhoden,55234,2006,FS,0
Psychologie,AR,15,Appenzell Ausserrhoden,55234,2006,FS,0
Wirtschaftswissenschaften,AR,15,Appenzell Ausserrhoden,55234,2006,FS,0
Philosophie II,AR,15,Appenzell Ausserrhoden,55234,2006,FS,0
Lehrerausbildung,AR,15,Appenzell Ausserrhoden,55234,2006,FS,0
Theologie,BS,12,Basel-Stadt,194766,2006,HS,3
Theologie,ZH,1,Zürich,1520968,2006,HS,2
Theologie,BE,2,Bern,1034977,2006,HS,0
Theologie,LU,3,Luzern,409557,2006,HS,1
Theologie,UR,4,Uri,36433,2006,HS,0
Theologie,SZ,5,Schwyz,159165,2006,HS,0
Theologie,OW,6,Obwalden,37841,2006,HS,0
Theologie,GL,8,Glarus,40403,2006,HS,0
Theologie,ZG,9,Zug,126837,2006,HS,0
Theologie,FR,10,Freiburg,318714,2006,HS,0
Theologie,SO,11,Solothurn,273194,2006,HS,1
Theologie,BL,13,Basel-Landschaft,288132,2006,HS,1
Theologie,SH,14,Schaffhausen,81991,2006,HS,0
Theologie,AI,16,Appenzell Innerrhoden,16145,2006,HS,0
Theologie,SG,17,St. Gallen,507697,2006,HS,0
Theologie,GR,18,Graubünden,198379,2006,HS,0
Theologie,AG,19,Aargau,677387,2006,HS,2
Theologie,TG,20,Thurgau,276472,2006,HS,0
Theologie,TI,21,Tessin,353343,2006,HS,1
Theologie,VD,22,Waadt,799145,2006,HS,0
Theologie,VS,23,Wallis,343955,2006,HS,0
Theologie,NE,24,Neuenburg,176850,2006,HS,0
Theologie,GE,25,Genf,499480,2006,HS,0
Theologie,JU,26,Jura,73419,2006,HS,0
Jurisprudenz,BS,12,Basel-Stadt,194766,2006,HS,44
Jurisprudenz,ZH,1,Zürich,1520968,2006,HS,3
Jurisprudenz,BE,2,Bern,1034977,2006,HS,1
Jurisprudenz,LU,3,Luzern,409557,2006,HS,3
Jurisprudenz,UR,4,Uri,36433,2006,HS,0
Jurisprudenz,SZ,5,Schwyz,159165,2006,HS,1
Jurisprudenz,OW,6,Obwalden,37841,2006,HS,0
Jurisprudenz,GL,8,Glarus,40403,2006,HS,0
Jurisprudenz,ZG,9,Zug,126837,2006,HS,0
Jurisprudenz,FR,10,Freiburg,318714,2006,HS,0
Jurisprudenz,SO,11,Solothurn,273194,2006,HS,11
Jurisprudenz,BL,13,Basel-Landschaft,288132,2006,HS,53
Jurisprudenz,SH,14,Schaffhausen,81991,2006,HS,0
Jurisprudenz,AI,16,Appenzell Innerrhoden,16145,2006,HS,0.5
Jurisprudenz,SG,17,St. Gallen,507697,2006,HS,0
Jurisprudenz,GR,18,Graubünden,198379,2006,HS,2
Jurisprudenz,AG,19,Aargau,677387,2006,HS,12
Jurisprudenz,TG,20,Thurgau,276472,2006,HS,4
Jurisprudenz,TI,21,Tessin,353343,2006,HS,2
Jurisprudenz,VD,22,Waadt,799145,2006,HS,0
Jurisprudenz,VS,23,Wallis,343955,2006,HS,1
Jurisprudenz,NE,24,Neuenburg,176850,2006,HS,0
Jurisprudenz,GE,25,Genf,499480,2006,HS,0
Jurisprudenz,JU,26,Jura,73419,2006,HS,0
Medizin,BS,12,Basel-Stadt,194766,2006,HS,32
Medizin,ZH,1,Zürich,1520968,2006,HS,19
Medizin,BE,2,Bern,1034977,2006,HS,12
Medizin,LU,3,Luzern,409557,2006,HS,24
Medizin,UR,4,Uri,36433,2006,HS,1
Medizin,SZ,5,Schwyz,159165,2006,HS,2
Medizin,OW,6,Obwalden,37841,2006,HS,1.5
Medizin,GL,8,Glarus,40403,2006,HS,1
Medizin,ZG,9,Zug,126837,2006,HS,10
Medizin,FR,10,Freiburg,318714,2006,HS,1
Medizin,SO,11,Solothurn,273194,2006,HS,23
Medizin,BL,13,Basel-Landschaft,288132,2006,HS,43
Medizin,SH,14,Schaffhausen,81991,2006,HS,2
Medizin,AI,16,Appenzell Innerrhoden,16145,2006,HS,2
Medizin,SG,17,St. Gallen,507697,2006,HS,24
Medizin,GR,18,Graubünden,198379,2006,HS,9
Medizin,AG,19,Aargau,677387,2006,HS,42
Medizin,TG,20,Thurgau,276472,2006,HS,7
Medizin,TI,21,Tessin,353343,2006,HS,5
Medizin,VD,22,Waadt,799145,2006,HS,0
Medizin,VS,23,Wallis,343955,2006,HS,1
Medizin,NE,24,Neuenburg,176850,2006,HS,0
Medizin,GE,25,Genf,499480,2006,HS,0
Medizin,JU,26,Jura,73419,2006,HS,1
